domain,topology,method,train_mode,eval_mode,ensemble_rmse,mean_member_rmse,best_member_rmse,uncertainty_error_spearman,depth_stratified_spearman,aleatoric_depth_spearman,total_depth_spearman,aleatoric_error_spearman,total_error_spearman,mean_uncertainty,seed
D3__mixed_unseen,D3,structured_ensemble,structured,structured,0.47535941004753113,0.5861058632532755,0.49003326892852783,0.9725734941900949,0.8592358366271409,-0.8298155467720685,0.4120816864295125,-0.9706509826385976,0.5750364528549113,0.3012981116771698,17
D3__mixed_unseen,D3,ordinary_deep_ensemble,constant,constant,0.46579310297966003,0.588931143283844,0.47990334033966064,0.9728206723654604,0.8886429512516469,-0.8315415019762845,0.4586166007905138,-0.9700757699214977,0.6270766110779149,0.32329216599464417,17
D3__mixed_unseen,D3,structured_wrong_desc,structured,constant,0.47583943605422974,0.5865950087706248,0.4903307259082794,0.9727157171146524,0.8593807641633727,-0.8300395256916995,0.4158234519104084,-0.9706428179892248,0.5782797939742914,0.30140137672424316,17
D3__mixed_composition,D3,structured_ensemble,structured,structured,0.6080020666122437,0.7417416373888651,0.668039858341217,0.9765328223843082,0.7408036890645586,-0.5785638998682476,0.42891963109354414,-0.9476079717266095,0.7553982982632014,0.3614160716533661,27
D3__mixed_composition,D3,ordinary_deep_ensemble,constant,constant,0.5770919322967529,0.6822760105133057,0.637657642364502,0.9725960128198164,0.7085111989459815,-0.5605928853754941,0.33894598155467714,-0.9443631820404053,0.6642048273489417,0.3094521164894104,27
D3__mixed_composition,D3,structured_wrong_desc,structured,constant,0.6074632406234741,0.7410895029703776,0.6667091250419617,0.9763198830611511,0.741133069828722,-0.5807246376811595,0.4280895915678524,-0.9476784247494228,0.753322106940446,0.3611143231391907,27
D2__mixed_composition,D2,structured_ensemble,structured,structured,0.635057806968689,0.756762425104777,0.7029456496238708,0.9343115768472933,0.5513965744400526,-0.15794466403162052,0.2920289855072463,-0.9219439766780743,0.7558436667176959,0.3563592731952667,27
D2__mixed_composition,D2,ordinary_deep_ensemble,constant,constant,0.6099336743354797,0.7044069965680441,0.6997011303901672,0.9149712344258492,0.45166007905138333,-0.09968379446640313,0.20055335968379442,-0.9160350092263831,0.6522386118779188,0.30104851722717285,27
D2__mixed_composition,D2,structured_wrong_desc,structured,constant,0.6353300213813782,0.7572197318077087,0.7024869918823242,0.9345376849597613,0.5555862977602108,-0.15884057971014487,0.29595520421607374,-0.9220166683950703,0.7566913416856381,0.35669586062431335,27
D3__mixed_unseen,D3,structured_ensemble,structured,structured,0.6022598743438721,0.7382782498995463,0.6664654016494751,0.9870603476231159,0.8752569169960474,-0.6473781291172596,0.46420289855072455,-0.9517103129727391,0.7575541607612879,0.3624018132686615,27
D3__mixed_unseen,D3,ordinary_deep_ensemble,constant,constant,0.5715181827545166,0.6791337927182516,0.6367997527122498,0.9807111475447617,0.8162450592885374,-0.6827536231884057,0.36010540184453227,-0.954517240414356,0.6690764892666138,0.3111090362071991,27
D3__mixed_unseen,D3,structured_wrong_desc,structured,constant,0.6017098426818848,0.737618625164032,0.6651204228401184,0.9869546022449495,0.8757839262187088,-0.6561923583662714,0.4670619235836626,-0.9524211642197412,0.7548488963731509,0.36210158467292786,27
D3__mixed_composition,D3,structured_ensemble,structured,structured,0.5156577229499817,0.6539188424746195,0.6124932169914246,0.9090255260519806,0.6280105401844531,-0.7066403162055335,0.2183399209486166,-0.9097613979986733,0.6187179854386113,0.3439818024635315,37
D3__mixed_composition,D3,ordinary_deep_ensemble,constant,constant,0.5135682821273804,0.6700741847356161,0.6414798498153687,0.9102436390632384,0.5572727272727271,-0.6421739130434783,0.18088274044795785,-0.9051469225362431,0.6588111546229859,0.3665009140968323,37
D3__mixed_composition,D3,structured_wrong_desc,structured,constant,0.5159218311309814,0.6541905204455057,0.6130038499832153,0.909160111078738,0.6301976284584979,-0.7087878787878786,0.2169565217391304,-0.9096214137682985,0.6191575596258089,0.3441380262374878,37
D2__mixed_composition,D2,structured_ensemble,structured,structured,0.5221304893493652,0.6626272996266683,0.6459081172943115,0.8982966500246093,0.3593939393939393,-0.14737812911725953,0.2519894598155467,-0.85633614651595,0.7036577299970206,0.3478713035583496,37
D2__mixed_composition,D2,ordinary_deep_ensemble,constant,constant,0.527113139629364,0.668484608332316,0.6452771425247192,0.8941004153106931,0.3773386034255599,-0.06217391304347826,0.2531225296442688,-0.8501061239808593,0.6930226157495429,0.3486534059047699,37
D2__mixed_composition,D2,structured_wrong_desc,structured,constant,0.5220309495925903,0.6624866326649984,0.6463510394096375,0.8981246656362091,0.35565217391304343,-0.15032938076416336,0.25108036890645585,-0.8565132667321815,0.7034397865339254,0.3478246331214905,37
D3__mixed_unseen,D3,structured_ensemble,structured,structured,0.5114630460739136,0.6516661842664083,0.6135327816009521,0.9303874093205401,0.7776943346508562,-0.7870619235836626,0.3092490118577074,-0.9549439091880291,0.6332804277222769,0.34502944350242615,37
D3__mixed_unseen,D3,ordinary_deep_ensemble,constant,constant,0.5081650018692017,0.6670917272567749,0.6389486193656921,0.933444543759064,0.7524505928853753,-0.7704743083003952,0.2898682476943346,-0.9544632483781815,0.6737644465733987,0.3675991892814636,37
D3__mixed_unseen,D3,structured_wrong_desc,structured,constant,0.5117426514625549,0.6519552071889242,0.6140270233154297,0.9306024556499869,0.7775230566534914,-0.7864031620553359,0.3048221343873518,-0.9551552682564689,0.6325001769556065,0.34518662095069885,37
D3__mixed_composition,D3,structured_ensemble,structured,structured,0.6669223308563232,0.7799845337867737,0.6660704612731934,0.9619129641792471,0.8527009222661395,-0.4222002635046113,0.49757575757575745,-0.9094984172761348,0.7654556977236103,0.36401763558387756,47
D3__mixed_composition,D3,ordinary_deep_ensemble,constant,constant,0.7171211242675781,0.8236364126205444,0.7073319554328918,0.948696503851048,0.8456521739130434,-0.4442951251646904,0.43646903820816857,-0.9172660276511656,0.7638342246957599,0.3711183965206146,47
D3__mixed_composition,D3,structured_wrong_desc,structured,constant,0.665463924407959,0.7785497705141703,0.6622165441513062,0.9614612747058835,0.8505401844532278,-0.4326218708827404,0.4981027667984189,-0.9104883151686347,0.7635127745486809,0.3641934394836426,47
D2__mixed_composition,D2,structured_ensemble,structured,structured,0.7281762361526489,0.815648595492045,0.7139517068862915,0.9305348997608219,0.49025032938076407,-0.12050065876152834,0.17633728590250325,-0.9009530582044027,0.7459221691629754,0.331024169921875,47
D2__mixed_composition,D2,ordinary_deep_ensemble,constant,constant,0.776594877243042,0.8651672005653381,0.7477048635482788,0.9260721287512532,0.35213438735177865,-0.12231884057971013,0.04973649538866929,-0.8943437745371583,0.7670347672498795,0.34613531827926636,47
D2__mixed_composition,D2,structured_wrong_desc,structured,constant,0.7290862202644348,0.816516121228536,0.7138170599937439,0.9301274574195431,0.4905401844532279,-0.12019762845849798,0.17778656126482212,-0.8999894978905247,0.7459607537156564,0.33126282691955566,47
D3__mixed_unseen,D3,structured_ensemble,structured,structured,0.6618266105651855,0.7776285608609518,0.6652462482452393,0.9631655794184993,0.904532279314888,-0.4700527009222661,0.501159420289855,-0.9043554782986584,0.7651466262384836,0.3662537932395935,47
D3__mixed_unseen,D3,ordinary_deep_ensemble,constant,constant,0.7126790881156921,0.8212985793749491,0.7064579129219055,0.9390720941831814,0.8482213438735178,-0.43338603425559946,0.4078392621870882,-0.9028045899815145,0.7483740660447706,0.3729631304740906,47
D3__mixed_unseen,D3,structured_wrong_desc,structured,constant,0.6603498458862305,0.7762008110682169,0.6613967418670654,0.9633334814822132,0.9042555994729907,-0.4822661396574439,0.49426877470355723,-0.9069278696026484,0.763821055906449,0.3664453327655792,47
