adaptation_seconds,domain,eval_nll,eval_rmse,model,multi_step_rmse,residual,residual_norm,seed,shots,topology
14.833366699996986,D3__mixed_composition,-43.06452941894531,0.032524026930332184,parameter_matched,0.1497359424829483,mixed_composition,1.5095032453536987,27,2,D3
0.0,D3__mixed_composition,-47.93815994262695,0.032815929502248764,topology_only,0.13893862068653107,mixed_composition,0.0,27,5,D3
47.605445200009854,D3__mixed_composition,-45.8968505859375,0.03151954710483551,dfwm,0.14585809409618378,mixed_composition,0.9811255931854248,27,5,D3
43.61326990000089,D3__mixed_composition,-45.59514617919922,0.030440784990787506,residual_only,0.13062149286270142,mixed_composition,0.5220096111297607,27,5,D3
44.854413600012776,D3__mixed_composition,-47.91740036010742,0.032306261360645294,monolithic_matched,0.14695309102535248,mixed_composition,0.6255841851234436,27,5,D3
0.0006505000055767596,D3__mixed_composition,-42.85068130493164,0.031176583841443062,history_encoder,0.13178282976150513,mixed_composition,0.8365194201469421,27,5,D3
46.5467287000065,D3__mixed_composition,-43.06535339355469,0.032502491027116776,parameter_matched,0.1497327983379364,mixed_composition,1.4240190982818604,27,5,D3
0.0,D2__mixed_composition,-45.39564514160156,0.04738589748740196,topology_only,0.2551668584346771,mixed_composition,0.0,42,0,D2
0.0,D2__mixed_composition,-54.34075164794922,0.034297168254852295,dfwm,0.14472052454948425,mixed_composition,0.0,42,0,D2
0.0,D2__mixed_composition,-45.57433319091797,0.034425340592861176,residual_only,0.16136763989925385,mixed_composition,0.0,42,0,D2
0.0,D2__mixed_composition,-50.44142150878906,0.034742601215839386,monolithic_matched,0.1619492471218109,mixed_composition,0.0,42,0,D2
0.0,D2__mixed_composition,-32.93010330200195,0.035744041204452515,history_encoder,0.18717250227928162,mixed_composition,0.0,42,0,D2
0.0,D2__mixed_composition,-39.28107833862305,0.03577446565032005,parameter_matched,0.17132380604743958,mixed_composition,0.0,42,0,D2
0.0,D2__mixed_composition,-45.39564514160156,0.04738589748740196,topology_only,0.2551668584346771,mixed_composition,0.0,42,1,D2
9.691981099997065,D2__mixed_composition,-54.7620964050293,0.034126896411180496,dfwm,0.14142365753650665,mixed_composition,1.89817476272583,42,1,D2
9.648293199992622,D2__mixed_composition,-45.867820739746094,0.03482329472899437,residual_only,0.17067526280879974,mixed_composition,0.28329750895500183,42,1,D2
9.783642100010184,D2__mixed_composition,-50.90744400024414,0.0345505028963089,monolithic_matched,0.16212198138237,mixed_composition,1.0016230344772339,42,1,D2
0.0005936999950790778,D2__mixed_composition,-35.58134841918945,0.03507879003882408,history_encoder,0.1820993274450302,mixed_composition,0.8543499708175659,42,1,D2
9.932193200002075,D2__mixed_composition,-39.59115982055664,0.04005219414830208,parameter_matched,0.20499354600906372,mixed_composition,3.457317590713501,42,1,D2
0.0,D2__mixed_composition,-45.39564514160156,0.04738589748740196,topology_only,0.2551668584346771,mixed_composition,0.0,42,2,D2
19.928465499993763,D2__mixed_composition,-54.761512756347656,0.034175775945186615,dfwm,0.14220869541168213,mixed_composition,1.5346747636795044,42,2,D2
19.382672099993215,D2__mixed_composition,-45.699588775634766,0.03519944101572037,residual_only,0.1756701022386551,mixed_composition,0.41128984093666077,42,2,D2
17.546965800007456,D2__mixed_composition,-50.904212951660156,0.03455405682325363,monolithic_matched,0.16245174407958984,mixed_composition,0.8689050078392029,42,2,D2
0.0004981999954907224,D2__mixed_composition,-35.4605598449707,0.03508095070719719,history_encoder,0.18232323229312897,mixed_composition,0.689186692237854,42,2,D2
19.487413499999093,D2__mixed_composition,-39.60076141357422,0.04009032994508743,parameter_matched,0.20437300205230713,mixed_composition,3.4537289142608643,42,2,D2
0.0,D2__mixed_composition,-45.39564514160156,0.04738589748740196,topology_only,0.2551668584346771,mixed_composition,0.0,42,5,D2
45.93862909999734,D2__mixed_composition,-54.69730758666992,0.034300729632377625,dfwm,0.14405260980129242,mixed_composition,1.1726635694503784,42,5,D2
48.69743010000093,D2__mixed_composition,-45.656002044677734,0.035004910081624985,residual_only,0.1720891296863556,mixed_composition,0.3463134467601776,42,5,D2
48.9813232000015,D2__mixed_composition,-50.887184143066406,0.034613244235515594,monolithic_matched,0.16323253512382507,mixed_composition,0.7843818664550781,42,5,D2
0.0005300000048009679,D2__mixed_composition,-35.47332000732422,0.035073403269052505,history_encoder,0.18239682912826538,mixed_composition,0.7003954648971558,42,5,D2
46.70675389999815,D2__mixed_composition,-39.599029541015625,0.04018143564462662,parameter_matched,0.20475666224956512,mixed_composition,3.480725049972534,42,5,D2
0.0,D3__mixed_composition,-39.65105438232422,0.046916164457798004,topology_only,0.26548030972480774,mixed_composition,0.0,42,0,D3
0.0,D3__mixed_composition,-49.46400833129883,0.03371015191078186,dfwm,0.15133628249168396,mixed_composition,0.0,42,0,D3
0.0,D3__mixed_composition,-41.36300277709961,0.0349155068397522,residual_only,0.18062089383602142,mixed_composition,0.0,42,0,D3
0.0,D3__mixed_composition,-45.07014465332031,0.033848393708467484,monolithic_matched,0.16484318673610687,mixed_composition,0.0,42,0,D3
0.0,D3__mixed_composition,-31.377809524536133,0.03601989895105362,history_encoder,0.18840210139751434,mixed_composition,0.0,42,0,D3
0.0,D3__mixed_composition,-39.61017990112305,0.035204458981752396,parameter_matched,0.18480923771858215,mixed_composition,0.0,42,0,D3
0.0,D3__mixed_composition,-39.65105438232422,0.046916164457798004,topology_only,0.26548030972480774,mixed_composition,0.0,42,1,D3
