adaptation_seconds,domain,eval_nll,eval_rmse,model,residual,residual_norm,seed,shots,topology
0.0,D4__mixed_unseen,-23.690105438232422,0.06986584514379501,topology_only,mixed_unseen,0.0,7,1,D4
9.243962100008503,D4__mixed_unseen,-25.460521697998047,0.0685809925198555,dfwm,mixed_unseen,4.352011680603027,7,1,D4
8.954763799993088,D4__mixed_unseen,-22.30723762512207,0.07208339124917984,residual_only,mixed_unseen,1.956458330154419,7,1,D4
9.500414300011471,D4__mixed_unseen,-22.58155059814453,0.08213932067155838,monolithic_matched,mixed_unseen,3.078249931335449,7,1,D4
0.0004165999998804182,D4__mixed_unseen,-25.296833038330078,0.06841593235731125,history_encoder,mixed_unseen,0.9927775263786316,7,1,D4
8.79561860000831,D4__mixed_unseen,-25.216026306152344,0.06957628577947617,parameter_matched,mixed_unseen,2.4355452060699463,7,1,D4
0.0,D4__mixed_unseen,-23.690105438232422,0.06986584514379501,topology_only,mixed_unseen,0.0,7,2,D4
17.966408600012073,D4__mixed_unseen,-25.51153564453125,0.06842325627803802,dfwm,mixed_unseen,3.5232372283935547,7,2,D4
18.169454099988798,D4__mixed_unseen,-22.459135055541992,0.07734730839729309,residual_only,mixed_unseen,3.0406267642974854,7,2,D4
18.187822799984133,D4__mixed_unseen,-22.527793884277344,0.08080460876226425,monolithic_matched,mixed_unseen,2.359712839126587,7,2,D4
0.00045700001646764576,D4__mixed_unseen,-25.29372215270996,0.06835094839334488,history_encoder,mixed_unseen,1.0075984001159668,7,2,D4
17.993890799989458,D4__mixed_unseen,-25.32307243347168,0.0695984810590744,parameter_matched,mixed_unseen,2.1068296432495117,7,2,D4
0.0,D4__mixed_unseen,-23.690105438232422,0.06986584514379501,topology_only,mixed_unseen,0.0,7,5,D4
45.37177880000672,D4__mixed_unseen,-25.672828674316406,0.06805658340454102,dfwm,mixed_unseen,4.154513359069824,7,5,D4
45.96537640001043,D4__mixed_unseen,-24.184795379638672,0.07241436839103699,residual_only,mixed_unseen,1.939925193786621,7,5,D4
44.91167180001503,D4__mixed_unseen,-23.360567092895508,0.08280397206544876,monolithic_matched,mixed_unseen,2.345907688140869,7,5,D4
0.0006979000172577798,D4__mixed_unseen,-25.246294021606445,0.068292997777462,history_encoder,mixed_unseen,0.7679585218429565,7,5,D4
45.35288190000574,D4__mixed_unseen,-24.9246768951416,0.06950864940881729,parameter_matched,mixed_unseen,1.6622569561004639,7,5,D4
0.0,D2__mixed_unseen,-26.661842346191406,0.0683838427066803,topology_only,mixed_unseen,0.0,17,0,D2
0.0,D2__mixed_unseen,-24.245811462402344,0.07267823070287704,dfwm,mixed_unseen,0.0,17,0,D2
0.0,D2__mixed_unseen,-24.715795516967773,0.07539019733667374,residual_only,mixed_unseen,0.0,17,0,D2
0.0,D2__mixed_unseen,-26.415447235107422,0.07006381452083588,monolithic_matched,mixed_unseen,0.0,17,0,D2
0.0,D2__mixed_unseen,-25.389925003051758,0.06958812475204468,history_encoder,mixed_unseen,0.0,17,0,D2
0.0,D2__mixed_unseen,-24.118314743041992,0.07082543522119522,parameter_matched,mixed_unseen,0.0,17,0,D2
0.0,D2__mixed_unseen,-26.661842346191406,0.0683838427066803,topology_only,mixed_unseen,0.0,17,1,D2
8.345926700014388,D2__mixed_unseen,-23.88510513305664,0.07591957598924637,dfwm,mixed_unseen,2.649540424346924,17,1,D2
8.183088799996767,D2__mixed_unseen,-24.457195281982422,0.07739581167697906,residual_only,mixed_unseen,1.7804940938949585,17,1,D2
8.233414199989056,D2__mixed_unseen,-26.891305923461914,0.07117024064064026,monolithic_matched,mixed_unseen,3.8142952919006348,17,1,D2
0.0005593000096268952,D2__mixed_unseen,-25.335857391357422,0.07019094377756119,history_encoder,mixed_unseen,1.1057722568511963,17,1,D2
8.18670910000219,D2__mixed_unseen,-24.02147102355957,0.07524776458740234,parameter_matched,mixed_unseen,6.844522953033447,17,1,D2
0.0,D2__mixed_unseen,-26.661842346191406,0.0683838427066803,topology_only,mixed_unseen,0.0,17,2,D2
16.05244090000633,D2__mixed_unseen,-23.9124755859375,0.07605399936437607,dfwm,mixed_unseen,2.3316917419433594,17,2,D2
16.23686100001214,D2__mixed_unseen,-24.56808090209961,0.0767766684293747,residual_only,mixed_unseen,1.7515954971313477,17,2,D2
16.483805299998494,D2__mixed_unseen,-27.071802139282227,0.07074283063411713,monolithic_matched,mixed_unseen,2.9625093936920166,17,2,D2
0.00044949998846277595,D2__mixed_unseen,-25.327983856201172,0.07028509676456451,history_encoder,mixed_unseen,1.212441086769104,17,2,D2
