"adaptation_seconds","best_validation_loss","domain","eval_nll","eval_rmse","evaluation_block_displacement_m","evaluation_contact_steps","initial_validation_loss","model","multi_step_rmse","optimization_steps","residual","residual_norm","rolled_back","seed","shots","topology","sweep_config"
"14.526511799995205","-33.1130908203125","D3__mixed_composition","-34.991207122802734","0.05682285130023956","0.013306613433560757","7","-32.7088916015625","dfwm","0.5161871910095215","20","mixed_composition","0.5047296285629272","False","7","2","D3","embedding_w0.1"
"0.0","","D3__mixed_composition","-35.382568359375","0.06133187189698219","0.013306613433560757","7","","topology_only","0.4722546935081482","","mixed_composition","0.0","","7","5","D3","embedding_w0.1"
"35.65778789999604","-33.1095849609375","D3__mixed_composition","-34.99784469604492","0.056816089898347855","0.013306613433560757","7","-32.7088916015625","dfwm","0.5161172151565552","20","mixed_composition","0.5012885928153992","False","7","5","D3","embedding_w0.1"
"0.0","","D2__mixed_composition","-38.03229522705078","0.05795099586248398","0.06072398458379948","101","","topology_only","0.4682120978832245","","mixed_composition","0.0","","7","0","D2","embedding_w1"
"0.0","","D2__mixed_composition","-39.9742317199707","0.05379766970872879","0.06072398458379948","101","","dfwm","0.49813807010650635","0","mixed_composition","0.0","False","7","0","D2","embedding_w1"
"0.0","","D2__mixed_composition","-38.03229522705078","0.05795099586248398","0.06072398458379948","101","","topology_only","0.4682120978832245","","mixed_composition","0.0","","7","1","D2","embedding_w1"
"9.847344000008889","-31.7417919921875","D2__mixed_composition","-40.14569854736328","0.05334482714533806","0.06072398458379948","101","-31.6588720703125","dfwm","0.4931497275829315","20","mixed_composition","0.47299274802207947","False","7","1","D2","embedding_w1"
"0.0","","D2__mixed_composition","-38.03229522705078","0.05795099586248398","0.06072398458379948","101","","topology_only","0.4682120978832245","","mixed_composition","0.0","","7","2","D2","embedding_w1"
"13.814381400006823","-31.7623974609375","D2__mixed_composition","-40.153785705566406","0.053339507430791855","0.06072398458379948","101","-31.6588720703125","dfwm","0.4923885762691498","20","mixed_composition","0.4512532353401184","False","7","2","D2","embedding_w1"
"0.0","","D2__mixed_composition","-38.03229522705078","0.05795099586248398","0.06072398458379948","101","","topology_only","0.4682120978832245","","mixed_composition","0.0","","7","5","D2","embedding_w1"
"34.28446779999649","-31.78807373046875","D2__mixed_composition","-40.17420196533203","0.05329124256968498","0.06072398458379948","101","-31.6588720703125","dfwm","0.4929276406764984","20","mixed_composition","0.409788578748703","False","7","5","D2","embedding_w1"
"0.0","","D3__mixed_composition","-35.39484405517578","0.06132414937019348","0.013306613433560757","7","","topology_only","0.4722520411014557","","mixed_composition","0.0","","7","0","D3","embedding_w1"
"0.0","","D3__mixed_composition","-35.293094635009766","0.05667250603437424","0.013306613433560757","7","","dfwm","0.5093972086906433","0","mixed_composition","0.0","False","7","0","D3","embedding_w1"
"0.0","","D3__mixed_composition","-35.39484405517578","0.06132414937019348","0.013306613433560757","7","","topology_only","0.4722520411014557","","mixed_composition","0.0","","7","1","D3","embedding_w1"
"9.956828299997142","-33.1052978515625","D3__mixed_composition","-35.02939987182617","0.05681542679667473","0.013306613433560757","7","-32.716044921875","dfwm","0.5164396166801453","20","mixed_composition","0.49347278475761414","False","7","1","D3","embedding_w1"
"0.0","","D3__mixed_composition","-35.39484405517578","0.06132414937019348","0.013306613433560757","7","","topology_only","0.4722520411014557","","mixed_composition","0.0","","7","2","D3","embedding_w1"
"15.46818519999215","-33.11935546875","D3__mixed_composition","-34.98038864135742","0.05684204772114754","0.013306613433560757","7","-32.716044921875","dfwm","0.5161186456680298","20","mixed_composition","0.5050053596496582","False","7","2","D3","embedding_w1"
"0.0","","D3__mixed_composition","-35.39484405517578","0.06132414937019348","0.013306613433560757","7","","topology_only","0.4722520411014557","","mixed_composition","0.0","","7","5","D3","embedding_w1"
"34.35440759999619","-33.1158447265625","D3__mixed_composition","-34.98708724975586","0.05683545023202896","0.013306613433560757","7","-32.716044921875","dfwm","0.51604825258255","20","mixed_composition","0.5014000535011292","False","7","5","D3","embedding_w1"
"0.0","","D2__mixed_composition","-38.03089141845703","0.05795425921678543","0.06072398458379948","101","","topology_only","0.46822649240493774","","mixed_composition","0.0","","7","0","D2","embedding_w5"
"0.0","","D2__mixed_composition","-39.96257400512695","0.05381343886256218","0.06072398458379948","101","","dfwm","0.49811166524887085","0","mixed_composition","0.0","False","7","0","D2","embedding_w5"
"0.0","","D2__mixed_composition","-38.03089141845703","0.05795425921678543","0.06072398458379948","101","","topology_only","0.46822649240493774","","mixed_composition","0.0","","7","1","D2","embedding_w5"
"9.738700400004745","-31.738359375","D2__mixed_composition","-40.13556671142578","0.053358808159828186","0.06072398458379948","101","-31.653115234375","dfwm","0.4929673969745636","20","mixed_composition","0.476960688829422","False","7","1","D2","embedding_w5"
"0.0","","D2__mixed_composition","-38.03089141845703","0.05795425921678543","0.06072398458379948","101","","topology_only","0.46822649240493774","","mixed_composition","0.0","","7","2","D2","embedding_w5"
"14.522134099999676","-31.7577392578125","D2__mixed_composition","-40.14317321777344","0.05335402488708496","0.06072398458379948","101","-31.653115234375","dfwm","0.49225229024887085","20","mixed_composition","0.45590707659721375","False","7","2","D2","embedding_w5"
"0.0","","D2__mixed_composition","-38.03089141845703","0.05795425921678543","0.06072398458379948","101","","topology_only","0.46822649240493774","","mixed_composition","0.0","","7","5","D2","embedding_w5"
"33.12368069999502","-31.7836865234375","D2__mixed_composition","-40.16325759887695","0.0533064603805542","0.06072398458379948","101","-31.653115234375","dfwm","0.4926914572715759","20","mixed_composition","0.4114888608455658","False","7","5","D2","embedding_w5"
"0.0","","D3__mixed_composition","-35.395423889160156","0.06132630631327629","0.013306613433560757","7","","topology_only","0.47227323055267334","","mixed_composition","0.0","","7","0","D3","embedding_w5"
