command_index,host_utc,dispatch_monotonic_ns,elapsed_s,phase,planned_phase_time_s,segment_index,changed_servo_ids,j1_target_raw,j2_target_raw,j3_target_raw,j4_target_raw,j5_target_raw
48,2026-09-05T05:01:57.596037+00:00,173278875000000,8.844000000,fixed_trajectory,0.333984375,1,4,2087,2641,2624,2678,2073
49,2026-09-05T05:01:57.637852+00:00,173278906000000,8.875000000,fixed_trajectory,0.351562500,1,3;4,2087,2641,2625,2677,2073
50,2026-09-05T05:01:57.687375+00:00,173278968000000,8.937000000,fixed_trajectory,0.369140625,1,4,2087,2641,2625,2676,2073
51,2026-09-05T05:02:00.960175+00:00,173282234000000,12.203000000,fixed_trajectory,0.017578125,2,3;4,2087,2641,2626,2675,2073
52,2026-09-05T05:02:00.997700+00:00,173282265000000,12.234000000,fixed_trajectory,0.035156250,2,3;4,2087,2641,2627,2674,2073
53,2026-09-05T05:02:01.049794+00:00,173282328000000,12.297000000,fixed_trajectory,0.052734375,2,4,2087,2641,2627,2673,2073
54,2026-09-05T05:02:01.094886+00:00,173282375000000,12.344000000,fixed_trajectory,0.070312500,2,3;4;5,2087,2641,2628,2672,2072
55,2026-09-05T05:02:01.149111+00:00,173282421000000,12.390000000,fixed_trajectory,0.087890625,2,3;4,2087,2641,2629,2671,2072
56,2026-09-05T05:02:01.206487+00:00,173282484000000,12.453000000,fixed_trajectory,0.105468750,2,3;4,2087,2641,2630,2670,2072
57,2026-09-05T05:02:01.249707+00:00,173282531000000,12.500000000,fixed_trajectory,0.123046875,2,4,2087,2641,2630,2669,2072
58,2026-09-05T05:02:01.304849+00:00,173282578000000,12.547000000,fixed_trajectory,0.140625000,2,3;4,2087,2641,2631,2668,2072
59,2026-09-05T05:02:01.341671+00:00,173282609000000,12.578000000,fixed_trajectory,0.158203125,2,3;4,2087,2641,2632,2667,2072
60,2026-09-05T05:02:01.394528+00:00,173282671000000,12.640000000,fixed_trajectory,0.175781250,2,3;4;5,2087,2641,2633,2666,2071
61,2026-09-05T05:02:01.435032+00:00,173282703000000,12.672000000,fixed_trajectory,0.193359375,2,4,2087,2641,2633,2665,2071
62,2026-09-05T05:02:01.451807+00:00,173282734000000,12.703000000,fixed_trajectory,0.210937500,2,3;4,2087,2641,2634,2664,2071
63,2026-09-05T05:02:01.504992+00:00,173282781000000,12.750000000,fixed_trajectory,0.228515625,2,3;4,2087,2641,2635,2663,2071
64,2026-09-05T05:02:04.724863+00:00,173286000000000,15.969000000,fixed_trajectory,0.017578125,3,3;4,2087,2641,2636,2662,2071
65,2026-09-05T05:02:04.762451+00:00,173286031000000,16.000000000,fixed_trajectory,0.035156250,3,4,2087,2641,2636,2661,2071
66,2026-09-05T05:02:04.815510+00:00,173286093000000,16.062000000,fixed_trajectory,0.052734375,3,3;4,2087,2641,2637,2660,2071
67,2026-09-05T05:02:04.878320+00:00,173286156000000,16.125000000,fixed_trajectory,0.070312500,3,3;4,2087,2641,2638,2659,2071
68,2026-09-05T05:02:04.920969+00:00,173286203000000,16.172000000,fixed_trajectory,0.087890625,3,4,2087,2641,2638,2658,2071
69,2026-09-05T05:02:04.978158+00:00,173286250000000,16.219000000,fixed_trajectory,0.105468750,3,3;4,2087,2641,2639,2657,2071
70,2026-09-05T05:02:05.017658+00:00,173286296000000,16.265000000,fixed_trajectory,0.123046875,3,4,2087,2641,2639,2656,2071
71,2026-09-05T05:02:05.076484+00:00,173286343000000,16.312000000,fixed_trajectory,0.140625000,3,3;4;5,2087,2641,2640,2655,2072
72,2026-09-05T05:02:05.118386+00:00,173286390000000,16.359000000,fixed_trajectory,0.158203125,3,3;4,2087,2641,2641,2654,2072
73,2026-09-05T05:02:05.177146+00:00,173286453000000,16.422000000,fixed_trajectory,0.175781250,3,4,2087,2641,2641,2653,2072
74,2026-09-05T05:02:05.215976+00:00,173286484000000,16.453000000,fixed_trajectory,0.193359375,3,3;4,2087,2641,2642,2652,2072
75,2026-09-05T05:02:05.278305+00:00,173286546000000,16.515000000,fixed_trajectory,0.210937500,3,3;4,2087,2641,2643,2651,2072
76,2026-09-05T05:02:05.461561+00:00,173286734000000,16.703000000,fixed_trajectory,0.228515625,3,4,2087,2641,2643,2650,2072
77,2026-09-05T05:02:05.494763+00:00,173286765000000,16.734000000,fixed_trajectory,0.246093750,3,3;4,2087,2641,2644,2649,2072
78,2026-09-05T05:02:05.536394+00:00,173286812000000,16.781000000,fixed_trajectory,0.263671875,3,4,2087,2641,2644,2648,2072
79,2026-09-05T05:02:05.574959+00:00,173286843000000,16.812000000,fixed_trajectory,0.281250000,3,3;4,2087,2641,2645,2647,2072
80,2026-09-05T05:02:08.791999+00:00,173290062000000,20.031000000,fixed_trajectory,0.017578125,4,4,2087,2641,2645,2646,2072
81,2026-09-05T05:02:08.832297+00:00,173290109000000,20.078000000,fixed_trajectory,0.035156250,4,3;4,2087,2641,2646,2645,2072
82,2026-09-05T05:02:08.877955+00:00,173290156000000,20.125000000,fixed_trajectory,0.052734375,4,4,2087,2641,2646,2644,2072
83,2026-09-05T05:02:08.930731+00:00,173290203000000,20.172000000,fixed_trajectory,0.070312500,4,3;4,2087,2641,2647,2643,2072
84,2026-09-05T05:02:08.970455+00:00,173290250000000,20.219000000,fixed_trajectory,0.087890625,4,4,2087,2641,2647,2642,2072
85,2026-09-05T05:02:09.028395+00:00,173290296000000,20.265000000,fixed_trajectory,0.105468750,4,4,2087,2641,2647,2641,2072
86,2026-09-05T05:02:09.079108+00:00,173290359000000,20.328000000,fixed_trajectory,0.123046875,4,3;4,2087,2641,2648,2640,2072
87,2026-09-05T05:02:09.276747+00:00,173290546000000,20.515000000,fixed_trajectory,0.140625000,4,4,2087,2641,2648,2639,2072
88,2026-09-05T05:02:09.309439+00:00,173290578000000,20.547000000,fixed_trajectory,0.158203125,4,3;4,2087,2641,2649,2638,2072
89,2026-09-05T05:02:09.344972+00:00,173290625000000,20.594000000,fixed_trajectory,0.175781250,4,4,2087,2641,2649,2637,2072
90,2026-09-05T05:02:09.394873+00:00,173290671000000,20.640000000,fixed_trajectory,0.193359375,4,4,2087,2641,2649,2636,2072
91,2026-09-05T05:02:09.446391+00:00,173290718000000,20.687000000,fixed_trajectory,0.210937500,4,3;4,2087,2641,2650,2635,2072
92,2026-09-05T05:02:09.491548+00:00,173290765000000,20.734000000,fixed_trajectory,0.228515625,4,4,2087,2641,2650,2634,2072
93,2026-09-05T05:02:09.539652+00:00,173290812000000,20.781000000,fixed_trajectory,0.246093750,4,3;4,2087,2641,2651,2633,2072
94,2026-09-05T05:02:09.591808+00:00,173290859000000,20.828000000,fixed_trajectory,0.263671875,4,4,2087,2641,2651,2632,2072
95,2026-09-05T05:02:13.624232+00:00,173294906000000,24.875000000,fixed_trajectory,0.017578125,5,3;4,2087,2641,2652,2631,2072
